Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Component/s,Component/s,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Raised during),Custom field (Rank),Sprint,Custom field (Story Points),Custom field (Test sessions),Custom field (Testing status),Custom field ([CHART] Date of First Response),Comment,Comment
Provisions for inheritance and realization,BACM-19,10318,,Resolution,To Do,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,,,jrhyne,jrhyne,09/20/17 11:34 AM,09/20/17 11:34 AM,01/20/18 6:25 AM,,,,,0,,,"Inheritance and realization at the BACM model level must be explicitly defined by associations in the BACM metamodel. Moreover, these associations must be defined for each meta-class, leading to having to answer the question: ""Which meta-classes (including classes used to define associations) are allowed to be specialized and/or realized by instances?"" In addition, if realization of instances is allowed, the meta-model must specify meta-classes for the instances.",,jrhyne,,,,,,,,,,,,,,,,,,{},,,,,,0|i000ev:,,,,,,,
Specialization of Capabilities,BACM-18,10317,,Resolution,To Do,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,,,jrhyne,jrhyne,09/13/17 4:33 PM,09/13/17 4:33 PM,01/20/18 6:27 AM,,Capability - EA,Capability - RFP,,0,,,"Specialization of Capabilities is a theoretical possibility. Should it be allowed in BACM-based models? If so, what are best practices for using Capability specialization. If it should be disallowed, what is the rationale. How would it be disallowed at the metamodel level?",,jrhyne,,,,,,,,,,,,,,,,,,{},,,,,,0|i000en:,,,,,,,
Use of SMM by the BACM metamodel,BACM-17,10316,,Resolution,To Do,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,,,jrhyne,jrhyne,09/13/17 4:22 PM,09/13/17 4:22 PM,01/20/18 6:27 AM,,Model - EA,,,0,,,Define how SMM can be used to associated metrics with the primary entities of the BACM metamodel.,,jrhyne,,,,,,,,,,,,,,,,,,{},,,,,,0|i000ef:,,,,,,,
"Alignment of Strategy and Mission Planning (UAF, UPDM, ...)",BACM-16,10315,,Resolution,To Do,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,,,jrhyne,jrhyne,09/13/17 4:20 PM,09/13/17 4:20 PM,01/20/18 6:27 AM,,Alignment - EA,Strategy - EA,,0,,,Define the principles of this alignment and create an example alignment using the Alignment package mechanisms and the Strategy package.,,jrhyne,,,,,,,,,,,,,,,,,,{},,,,,,0|i000e7:,,,,,,,
Create an RFP response document section for Strategy and add preliminary content,BACM-15,10314,,Task,To Do,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,,,jrhyne,jrhyne,09/13/17 4:17 PM,09/13/17 4:17 PM,01/20/18 6:27 AM,,Strategy - RFP,,,0,,,Take the EA Strategy package as modified on 9/13/2017 and use this to create a new section in the RFP response document,,jrhyne,,,,,,,,,,,,,,,,,,{},,,,,,0|i000dz:,,,,,,,
Value Stream/Stake association to Stakeholder,BACM-14,10313,,Resolution,To Do,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,,,jeffw5,jrhyne,08/14/17 3:49 PM,08/14/17 3:49 PM,01/20/18 6:27 AM,,Value - EA,,08/17/17 12:00 AM,0,,,"We generally think of a value stream as being focused on a class of stakeholders (where a stakeholder is like a segment and the class could consist of a single stakeholder). This could imply that the value item is produced in the final stage of the value stream.
But, there are value streams that produce intermediate results for the benefit of other stakeholders. A securities trading example is trade pricing, whose result feeds the portfolio value in the general ledger, the trading P&L reports and the trading risk reports.
We previously determined that value stages are not shared, so having three value streams for each of the stakeholders such that the pricing stage is shared is not a possible solution. It would be possible to have three individual pricing stages with the same set of capabilities and outcomes.
Using a single value stream with different stakeholders does not work because the stages subsequent to pricing are all different (though it could be argued that the P&L case is an extension of the portfolio value case, even though the trades are categorized differently in the summaries). The P&L combines current value with actual volatility to explain P&L, while risk looks at both actual and potential causes of variability, combined with current price to determine measures like value at risk. The P&L and Risk reporting is often done by different groups in the trading middle office.
Switching to a case in which market analysis is being used in conjunction with value mapping, it may be the case that there are 10s of segments for products and services resulting from a single value stream. This can be handled by allowing the stage/stream to stakeholder association to be 1-n, assuming that there is a single value item resulting from the value stream/stage and the analysis wishes to establish the degree to which that value item is likely to trigger a purchase by each of the stakeholders. Or, one could posit multiple variations of the value item (e.g. by changing the language of the product instructions). This question affects the relationship between value item and outcome.",,jrhyne,,,,,,,,,,,,,,,,,,{},,,,,,0|i000dr:,,,,,,,
Specific subtypes of Capability::Affected role class,BACM-13,10312,,Resolution,To Do,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,,jrhyne,jrhyne,jrhyne,08/09/17 12:13 PM,08/09/17 12:13 PM,01/20/18 6:27 AM,,Capability - EA,,08/25/17 12:00 AM,0,,,"While creating the information package, it seemed valuable to be able to represent CRUD-like indications about the primary information business object. I did this by specializing the Capability::Affected role element. This approach also has the added feature of allowing an association to the previous version of the information business object in the case of modification, assembly or derivation (e.g. preparing a summary or extract). In prose, one would say e.g. ""the capability derived the total revenue of the sales for the month of October""; ""sales for the month of October"" is the term associated with the ""prior"" information business object.",,jrhyne,,,,,,,,,,,,,,,,,,{},,,,,,0|i000dj:,,,,,,,
Representation of relationships as first class entities in metamodel,BACM-12,10311,,Resolution,Done,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,Done,,jeffw5,jrhyne,07/28/17 4:21 PM,09/21/17 11:28 PM,01/20/18 6:27 AM,09/21/17 11:28 PM,Model - EA,,,0,,,"Chalon suggested that it be possible to ""read"" the EA diagrams as prose, effectively treating the class entities at either end of the relationship as ""subject"" and ""object"" with the relation label being used as an activity verb or a state of affairs. I am suggesting that we adopt a specific way to do this, where the relation is represented by a class and two associations (labeled ""subject"" and ""object"" respectively) and the translation into a natural language phrase is: <subject class label> <relation class label> <object class label>.",,jeffw5,jrhyne,,,,,,,,,,,,,,,,,{},,,,,,0|i000db:,,,,,2017-08-14 16:34:02.655,"07/28/17 4:30 PM;jeffw5;Per Chalon:

Chalon suggested that it be possible to ""read"" the EA diagrams as prose, effectively treating the class entities at either end of the relationship as ""subject"" and ""object"" with the relation label being used as an activity verb or a state of affairs. I am suggesting that we adopt a specific way to do this, where the relation is represented by a class and two associations (labeled ""subject"" and ""object"" respectively) and the translation into a natural language phrase is: {color:red}<subject class label> <relation class label> <object class label>.{color}","08/14/17 11:34 AM;jrhyne;My original intent for this proposal was that metamodel associations be ""first class"" entities. Specifically, that they can have attributes, operations, participate in associations and be specialized. 
This could be done explicitly (as I did for the Capability package). or it could be done implicitly, by an implementation rule specifying that when the model is translated into MOF, each association is represented by a class and two associations.
The latter scheme makes the metamodel diagrams much easier to read."
"""may be valuation of""",BACM-11,10310,,Resolution,Done,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,Done,,jrhyne,jrhyne,07/19/17 12:13 PM,09/13/17 4:28 PM,01/20/18 6:27 AM,09/13/17 4:28 PM,Value - EA,,07/21/17 12:00 AM,0,,,"This association appears to create a binding between the production of an outcome by a capability and both the value proposition and the value item. Rendering this into English breaks syntax because it makes both the value proposition and the value item the heads of noun phrases in an adverbial phrase that modifies the verb ""produces"". An acceptable English phrasing would seem to be ""The capability produces an outcome which from the perspective of the business has a value item."" The relativizer ""which"" refers to the Outcome that is the object of ""produces"". The metamodel rendering of this would have a Role Class ""may be a valuation of"" that binds the Value Item and the Outcome (and potentially the Stakeholder). Whether there is another Role Class that binds Outcome and Value Proposition is dependent on the resolution of BACM 10.
See the EA diagram ""Value v2 052017"" version 2.0 for an example of how this could be rendered in the metamodel.",,jrhyne,,,,,,,,,,,,,,,,,,{},,,,,,0|i000d3:,,,,,,09/13/17 4:28 PM;jrhyne;This issue is being closed because the representational problem was addressed in a change to the Value package in the EA model in an August team meeting,
Value Stream Triggering Role Element,BACM-10,10309,,Resolution,To Do,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,,,jrhyne,jrhyne,07/19/17 11:47 AM,08/14/17 3:53 PM,01/20/18 6:27 AM,,Value - EA,,07/21/17 12:00 AM,0,,,"Two alternatives:
1. The current ternary relationship, which binds the Stakeholder, the Value Stream, and the Value Proposition and is interpreted as ""A value proposition of the stakeholder triggers the value stream"".
2. A binary relationship (""has"") which binds the Value Proposition to the Stakeholder and is interpreted as ""The stakeholder has the value proposition"". The connection to a value stream is provided by an analysis process that matches the value proposition to the value item. The resulting relationship between value proposition and value item has a ""strength"" property that is determined by the degree of match. The triggering relationship is implied by the degree of match, and represents a ""pull"" interpretation typical of contemporary marketing.
*Should the relationship between value proposition and value item be in the metamodel or left for tool vendors to define in a non-standard way?* The answer depends on the importance of this relationship in typical business architecture methods.",,jrhyne,,,,,,,,,,,,BACM-11,,,,,,{},,,,,,0|i000cv:,,,,,,"07/28/17 4:06 PM;jrhyne;A value stream trigger could be a derived element created by starting with a stakeholder and a value stream and a value item related to the stakeholder and value stream. The stakeholder's value proposition matches the value item, representing a desire for the outcomes associated with the value item.
This describes a ""pull"" model in which the stakeholder's value proposition is the cause of the triggering event. The triggering event is not a real event, it is the business response to an opportunity.
The model also needs to accommodate ""push"" models, where a specific type of event (a competitor price change, a stock outage) triggers the value stream. ","08/14/17 3:53 PM;jrhyne;There seems to be a consensus that the stakeholder is always an agent (human or bot). The stakeholder may respond to an event, but the triggering is created by the stakeholder and not directly by the event."
Initial Foundation EA metamodel,BACM-9,10308,,Task,Done,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,Done,,jeffw5,jrhyne,07/19/17 11:22 AM,09/21/17 11:31 PM,01/20/18 6:27 AM,09/21/17 11:31 PM,Foundations - EA,,07/21/17 12:00 AM,0,,,Create an initial EA metamodel of foundations package for review.,,jrhyne,,,,,,,,,,,,,,,,,,{},,,,,,0|i000cn:,,,,,,,
Initial Alignment EA metamodel for review,BACM-8,10307,,Task,Done,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,Done,jrhyne,jeffw5,jrhyne,07/19/17 11:21 AM,09/21/17 11:36 PM,01/20/18 6:27 AM,09/21/17 11:36 PM,Alignment - EA,,07/21/17 12:00 AM,0,,,Create an initial EA metamodel of cross model alignment for review.,,jrhyne,,,28800,14400,,0%,28800,14400,,,,,08/04/17 6:19 PM;jrhyne;Alignment.png;https://baguildmmteam.atlassian.net/secure/attachment/10100/Alignment.png,,,,,{},,,,,,0|i000cf:,,,,,2017-08-04 23:19:03.311,"08/04/17 6:19 PM;jrhyne;8/4/17
An initial metamodel package ""Alignment"" has been created in the Guild_BAMM EA model.
A diagram in this package shows the ""Assembler"" and Proxy"" classes and their relationships.
A GIF of the diagram is in the Guild team file store, along with a document produced by the BA/BPM alignment team showing an example of using these kinds of classes to align a capability map with BPMN process diagrams.",
Initial EA metamodel for Information,BACM-7,10306,,Task,In Progress,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,,jrhyne,jeffw5,jrhyne,07/19/17 11:18 AM,08/11/17 4:09 PM,01/20/18 6:27 AM,,Information - EA,,07/21/17 12:00 AM,0,,,Create an initial EA metamodel of Information for review.,,jrhyne,,,,,,,,,,,,,,,,,,{},,,,,,0|i000c7:,,,,,2017-08-09 17:01:41.957,08/09/17 12:01 PM;jrhyne;Initial Information package implemented in GuildBAMM EA model. ,"08/11/17 4:09 PM;jrhyne;I updated the submission document to add a section on Information and add content from the GuildBAMM EA model.
I also made changes to the Foundations section to specialize Business Object. The addition of a relationship class for business objects was needed by the information model, but it makes better sense to implement this at the business object level where it can be used by other business object subtypes. In addition, I added set and individual specializations for business object and a ""member of"" association to show when an individual is member of a type."
Initial EA draft of Organization metamodel,BACM-6,10305,,Task,Done,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,Done,,jeffw5,jrhyne,07/19/17 11:17 AM,09/21/17 11:32 PM,01/20/18 6:27 AM,09/21/17 11:32 PM,Organization - EA,,07/21/17 12:00 AM,0,,,Create an initial metamodel of Organization for review.,,jrhyne,,,,,,,,,,,,,,,,,,{},,,,,,0|i000bz:,,,,,,,
Initial draft of Value Package,BACM-5,10304,,Task,Done,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,Done,,jeffw5,jrhyne,07/19/17 11:16 AM,09/21/17 11:41 PM,01/20/18 6:27 AM,09/21/17 11:41 PM,Value - EA,,07/21/17 12:00 AM,0,,,Create an initial EA model for Value for review.,,jrhyne,,,,,,,,,,,,,,,,,,{},,,,,,0|i000br:,,,,,,,
Choose an Organization metamodel,BACM-4,10303,,Resolution,To Do,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,,,jeffw5,jrhyne,07/18/17 3:51 PM,07/28/17 5:20 AM,01/20/18 6:27 AM,,Organization - EA,,07/21/17 12:00 AM,0,,,BACM-3 split the colliding views of organization into two packages: Organization_1 and Organization_2. This issue calls for the team to decide what to do with these two views of Organization.,,jeffw5,jrhyne,,1800,1800,,0%,1800,1800,,,,,,,,,,{},,,,,,0|i000bj:,,,,,,07/28/17 5:08 AM;jeffw5; BACM-3 IN REVIEW  split the colliding views of organization into two packages: Organization_1 and Organization_2. This issue calls for the team to decide what to do with these two views of Organization.,"07/28/17 5:20 AM;jeffw5;sending over to Slack


 BACM-3 IN REVIEW  split the colliding views of organization into two packages: Organization_1 and Organization_2. This issue calls for the team to decide what to do with these two views of Organization.
"
Reconcile confusing overloads in Organization package,BACM-3,10302,,Task,Done,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,Done,jrhyne,jeffw5,jrhyne,07/18/17 3:12 PM,09/21/17 11:42 PM,01/20/18 6:27 AM,09/21/17 11:42 PM,Organization - EA,,07/21/17 12:00 AM,0,,,"The classes in the Organization package have ambiguous semantics because variants of Organization were created using diagrams instead of placing the variants in separate packages. For example, Collaborative Team specialized both Business Social Group and Organization.
See the Guild BAMM model for details.
Organization has been broken into two packages, Organization_1 and Organization_2 that represent two different views on Organization. The task is now done, but the team needs to decide which of the two views is the correct one for the RFP response.",,jeffw5,jrhyne,,7200,7200,,0%,7200,7200,,,,,,,,,,{},,,,,,0|i000bb:,,,,,,"07/21/17 5:37 PM;jeffw5;Need everyone to review the dual package solution that Jim R. proposed for Organization. 

1. Do we keep both ?
2. Do we choose one over the other ?
3. Is there another option we should consider ?","07/28/17 5:05 AM;jeffw5;Per Jim:  
The classes in the Organization package have ambiguous semantics because variants of Organization were created using diagrams instead of placing the variants in separate packages. For example, Collaborative Team specialized both Business Social Group and Organization.
See the Guild BAMM model for details.
Organization has been broken into two packages, Organization_1 and Organization_2 that represent two different views on Organization. The task is now done, but the team needs to decide which of the two views is the correct one for the RFP response."
Business Object and Performer classes,BACM-2,10301,,Resolution,To Do,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,,jrhyne,jeffw5,jrhyne,07/18/17 2:49 PM,07/18/17 2:52 PM,01/20/18 6:27 AM,,Foundations - EA,,07/21/17 12:00 AM,0,,,"In Foundations, Business Object and Performers are defined as concrete (instantiatable) elements inheriting from Class Element. In the Organization package, a class Business Social Group is defined. Is Performers the same as Business Social Group? If so, which is the preferred label?
See the Guild BAMM EA model for details. ",,jrhyne,,,900,900,,0%,900,900,,,BACM-1,,,,,,,{},,,,,,0|i000b3:,,,,,,,
Initial draft of Capability package,BACM-1,10300,,Task,Done,BACM,Business Architecture Core Metamodel,software,jeffw5,,,Medium,Done,jrhyne,jeffw5,jrhyne,07/18/17 2:29 PM,09/13/17 4:24 PM,01/20/18 6:27 AM,09/13/17 4:24 PM,Capability - EA,,07/21/17 12:00 AM,0,,,Complete for review an initial draft of the Capability package of the Model-EA component.,,jeffw5,jrhyne,Producing capability package;07/18/17 2:39 PM;jrhyne;10800,14400,3600,10800,75%,14400,3600,10800,,,,,,,,,{},,,,,,0|i000av:,,,,,,07/28/17 5:07 AM;jeffw5;Complete for review an initial draft of the Capability package of the Model-EA component.,
Final Review & Approval,BAMM-20,10219,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 6:16 AM,05/22/17 6:17 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-8,,,,0|i000an:,CORE Sprint 1,,,,,,
Obtain Feedback and Iterate,BAMM-19,10218,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 6:16 AM,05/22/17 6:17 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-8,,,,0|i000af:,CORE Sprint 1,,,,,,
Review Package with Core Team,BAMM-18,10217,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 6:16 AM,05/22/17 6:17 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-8,,,,0|i000a7:,CORE Sprint 1,,,,,,
Draft Package,BAMM-17,10216,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 6:16 AM,05/22/17 6:17 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-8,,,,0|i0009z:,CORE Sprint 1,,,,,,
Final Review & Approval,BAMM-16,10215,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 6:15 AM,05/22/17 6:15 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-7,,,,0|i0009r:,CORE Sprint 1,,,,,,
Obtain Feedback and Iterate,BAMM-15,10214,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 6:15 AM,05/22/17 6:15 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-7,,,,0|i0009j:,CORE Sprint 1,,,,,,
Review Package with Core Team,BAMM-14,10213,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 6:14 AM,05/22/17 6:15 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-7,,,,0|i0009b:,CORE Sprint 1,,,,,,
