Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Component/s,Component/s,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Raised during),Custom field (Rank),Sprint,Custom field (Story Points),Custom field (Test sessions),Custom field (Testing status),Custom field ([CHART] Date of First Response),Comment,Comment
Draft Package,BAMM-13,10212,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 6:14 AM,05/22/17 6:15 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-7,,,,0|i00093:,CORE Sprint 1,,,,,,
Final Review & Approval,BAMM-12,10211,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 5:55 AM,05/22/17 5:55 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-6,,,,0|i0008v:,CORE Sprint 1,,,,,,
Obtain Feedback and Iterate,BAMM-11,10210,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 5:55 AM,05/22/17 5:55 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-6,,,,0|i0008n:,CORE Sprint 1,,,,,,
Review Package with Core Team,BAMM-10,10209,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 5:54 AM,05/22/17 5:54 AM,01/20/18 6:26 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-6,,,,0|i0008f:,CORE Sprint 1,,,,,,
Draft Package,BAMM-9,10208,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 5:54 AM,05/22/17 5:54 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-6,,,,0|i00087:,CORE Sprint 1,,,,,,
Value Mapping Package,BAMM-8,10207,,Epic,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 5:54 AM,05/22/17 6:17 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},ghx-label-4,,Value,To Do,,0|i0007z:,,,,,,,
Organization Mapping Package,BAMM-7,10206,,Epic,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 5:53 AM,05/22/17 6:15 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},ghx-label-6,,Organization,To Do,,0|i0007r:,,,,,,,
Information Mapping Package,BAMM-6,10205,,Epic,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 5:53 AM,05/22/17 5:55 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},ghx-label-12,,Information,To Do,,0|i0007j:,,,,,,,
Final Review & Approval,BAMM-5,10204,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 5:52 AM,05/22/17 6:13 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-1,,,,0|i0007b:,CORE Sprint 1,,,,,,
Obtain Feedback & Iterate,BAMM-4,10203,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 5:52 AM,05/22/17 6:13 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-1,,,,0|i00073:,CORE Sprint 1,,,,,,
Review Package with Core Team,BAMM-3,10202,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 5:51 AM,05/22/17 6:13 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-1,,,,0|i0006v:,CORE Sprint 1,,,,,,
Draft Package,BAMM-2,10201,,Story,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 5:51 AM,05/22/17 6:13 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},,BAMM-1,,,,0|i0006n:,CORE Sprint 1,,,,,,
Capability Mapping Package,BAMM-1,10200,,Epic,To Do,BAMM,BA MM Roadmap,software,jeffw5,,,Medium,,,jeffw5,jeffw5,05/22/17 5:50 AM,05/22/17 6:13 AM,01/20/18 6:27 AM,,,,,0,,,,,jeffw5,,,,,,,,,,,,,,,,,,{},ghx-label-8,,Capability,To Do,,0|i0006f:,,,,,,,
OMG Submission Packaging - Final Submission,GBM-29,10121,,Task,To Do,GBM,Guild BA MetaModel,business,jeffw5,"<h3>Welcome to the administration of your demonstration project!</h3>
 <p>This is where you can view and change how the project is configured. Use the tabs on the left to navigate to different project settings.</p>",,Medium,,,jeffw5,jeffw5,05/12/17 9:33 AM,05/12/17 12:11 PM,01/20/18 6:27 AM,,,,03/15/18 12:00 AM,0,,,,,jeffw5,,,288000,288000,,0%,288000,288000,,,,,,,,,,{},,,,,,0|i00067:,,,,,,,
OMG Submission Packaging - OMG Review & Feedback,GBM-28,10120,,Task,To Do,GBM,Guild BA MetaModel,business,jeffw5,"<h3>Welcome to the administration of your demonstration project!</h3>
 <p>This is where you can view and change how the project is configured. Use the tabs on the left to navigate to different project settings.</p>",,Medium,,,jeffw5,jeffw5,05/12/17 9:33 AM,05/12/17 12:12 PM,01/20/18 6:27 AM,,,,02/28/18 12:00 AM,0,,,,,jeffw5,,,288000,288000,,0%,288000,288000,,,,,,,,,,{},,,,,,0|i0005z:,,,,,,,
OMG Submission Packaging - Initial Submission,GBM-27,10119,,Task,To Do,GBM,Guild BA MetaModel,business,jeffw5,"<h3>Welcome to the administration of your demonstration project!</h3>
 <p>This is where you can view and change how the project is configured. Use the tabs on the left to navigate to different project settings.</p>",,Medium,,,jeffw5,jeffw5,05/12/17 9:33 AM,05/12/17 12:13 PM,01/20/18 6:27 AM,,,,01/28/18 12:00 AM,0,,,,,jeffw5,,,576000,576000,,0%,576000,576000,,,,,,,,,,{},,,,,,0|i0005r:,,,,,,,
OMG Submission Packaging - TOGAF Meta Model (Open Group MM),GBM-26,10118,,Task,To Do,GBM,Guild BA MetaModel,business,jeffw5,"<h3>Welcome to the administration of your demonstration project!</h3>
 <p>This is where you can view and change how the project is configured. Use the tabs on the left to navigate to different project settings.</p>",,Medium,,,jeffw5,jeffw5,05/12/17 9:33 AM,05/12/17 11:41 AM,01/20/18 6:27 AM,,,,11/15/17 12:00 AM,0,,,,,jeffw5,,,576000,576000,,0%,576000,576000,,,,,,,,,,{},,,,,,0|i0005j:,,,,,,,
OMG Submission Packaging - Structured Metrics Meta Model (SMM),GBM-25,10117,,Task,To Do,GBM,Guild BA MetaModel,business,jeffw5,"<h3>Welcome to the administration of your demonstration project!</h3>
 <p>This is where you can view and change how the project is configured. Use the tabs on the left to navigate to different project settings.</p>",,Medium,,,jeffw5,jeffw5,05/12/17 9:32 AM,05/12/17 11:42 AM,01/20/18 6:27 AM,,,,11/15/17 12:00 AM,0,,,,,jeffw5,,,576000,576000,,0%,576000,576000,,,,,,,,,,{},,,,,,0|i0005b:,,,,,,,
OMG Submission Packaging - Document & MM Review (Internal),GBM-24,10116,,Task,To Do,GBM,Guild BA MetaModel,business,jeffw5,"<h3>Welcome to the administration of your demonstration project!</h3>
 <p>This is where you can view and change how the project is configured. Use the tabs on the left to navigate to different project settings.</p>",,Medium,,,jeffw5,jeffw5,05/12/17 9:32 AM,05/12/17 3:27 PM,01/20/18 6:28 AM,,,,11/01/17 12:00 AM,0,,,,,jeffw5,,,576000,576000,,0%,576000,576000,,,,,,,,,,{},,,,,,0|i00053:,,,,,,,
OMG Submission Packaging - Business Motivation Model (BMM),GBM-23,10115,,Task,To Do,GBM,Guild BA MetaModel,business,jeffw5,"<h3>Welcome to the administration of your demonstration project!</h3>
 <p>This is where you can view and change how the project is configured. Use the tabs on the left to navigate to different project settings.</p>",,Medium,,,jeffw5,jeffw5,05/12/17 9:32 AM,05/12/17 12:13 PM,01/20/18 6:28 AM,,,,10/01/17 12:00 AM,0,,,,,jeffw5,,,576000,576000,,0%,576000,576000,,,,,,,,,,{},,,,,,0|i0004v:,,,,,,,
OMG Submission Packaging - Semantics of Business Vocabulary & Rules (SBVR),GBM-22,10114,,Task,To Do,GBM,Guild BA MetaModel,business,jeffw5,"<h3>Welcome to the administration of your demonstration project!</h3>
 <p>This is where you can view and change how the project is configured. Use the tabs on the left to navigate to different project settings.</p>",,Medium,,,jeffw5,jeffw5,05/12/17 9:32 AM,05/12/17 12:13 PM,01/20/18 6:28 AM,,,,10/01/17 12:00 AM,0,,,,,jeffw5,,,576000,576000,,0%,576000,576000,,,,,,,,,,{},,,,,,0|i0004n:,,,,,,,
OMG Submission Packaging - Decision Model & Notation (DMN),GBM-21,10113,,Task,To Do,GBM,Guild BA MetaModel,business,jeffw5,"<h3>Welcome to the administration of your demonstration project!</h3>
 <p>This is where you can view and change how the project is configured. Use the tabs on the left to navigate to different project settings.</p>",,Medium,,,jeffw5,jeffw5,05/12/17 9:31 AM,05/12/17 12:14 PM,01/20/18 6:28 AM,,,,11/01/17 12:00 AM,0,,,,,jeffw5,,,576000,576000,,0%,576000,576000,,,,,,,,,,{},,,,,,0|i0004f:,,,,,,,
OMG Submission Packaging - Metamodel Files,GBM-20,10112,,Task,To Do,GBM,Guild BA MetaModel,business,jeffw5,"<h3>Welcome to the administration of your demonstration project!</h3>
 <p>This is where you can view and change how the project is configured. Use the tabs on the left to navigate to different project settings.</p>",,Medium,,,jeffw5,jeffw5,05/12/17 9:31 AM,05/12/17 12:14 PM,01/20/18 6:28 AM,,,,10/01/17 12:00 AM,0,,,,,jeffw5,,,576000,576000,,0%,576000,576000,,,,,,,,,,{},,,,,,0|i00047:,,,,,,,
OMG Submission Packaging - Overview Document with Pictures,GBM-19,10111,,Task,To Do,GBM,Guild BA MetaModel,business,jeffw5,"<h3>Welcome to the administration of your demonstration project!</h3>
 <p>This is where you can view and change how the project is configured. Use the tabs on the left to navigate to different project settings.</p>",,Medium,,,jeffw5,jeffw5,05/12/17 9:31 AM,05/12/17 11:46 AM,01/20/18 6:28 AM,,,,12/01/17 12:00 AM,0,,,,,jeffw5,,,576000,576000,,0%,576000,576000,,,,,,,,,,{},,,,,,0|i0003z:,,,,,,,
OMG Submission Packaging - Case Management Model & Notation (CMMN),GBM-18,10110,,Task,To Do,GBM,Guild BA MetaModel,business,jeffw5,"<h3>Welcome to the administration of your demonstration project!</h3>
 <p>This is where you can view and change how the project is configured. Use the tabs on the left to navigate to different project settings.</p>",,Medium,,,jeffw5,jeffw5,05/12/17 9:30 AM,07/28/17 5:02 AM,01/20/18 6:28 AM,,,,06/15/17 12:00 AM,0,,,,,jeffw5,,,576000,576000,,0%,576000,576000,,,,,,,,,,{},,,,,,0|i0003r:,,,,,,"07/28/17 5:02 AM;jeffw5;Lloyd, can you draft a model for Case Management by EO Next Week ?",
OMG Submission Packaging - Business Process Model & Notation (BPMN),GBM-17,10109,,Task,To Do,GBM,Guild BA MetaModel,business,jeffw5,"<h3>Welcome to the administration of your demonstration project!</h3>
 <p>This is where you can view and change how the project is configured. Use the tabs on the left to navigate to different project settings.</p>",,Medium,,,jeffw5,jeffw5,05/12/17 9:30 AM,07/28/17 4:57 AM,01/20/18 6:28 AM,,,,09/01/17 12:00 AM,0,,,,,jeffw5,,,576000,576000,,0%,576000,576000,,,,,,,,,,{},,,,,,0|i0003j:,,,,,,07/28/17 4:57 AM;jeffw5;Need to get Lloyd's model loaded into the EA cloud,
BA MM (Penumbra) - Requirements Management,GBM-16,10108,,Task,To Do,GBM,Guild BA MetaModel,business,jeffw5,"<h3>Welcome to the administration of your demonstration project!</h3>
 <p>This is where you can view and change how the project is configured. Use the tabs on the left to navigate to different project settings.</p>",,Medium,,,jeffw5,jeffw5,05/12/17 9:28 AM,05/12/17 11:42 AM,01/20/18 6:28 AM,,,,07/30/17 12:00 AM,0,,,,,jeffw5,,,576000,576000,,0%,576000,576000,,,,,,,,,,{},,,,,,0|i0003b:,,,,,,,
BA MM (Penumbra) - Business Performance Management,GBM-15,10107,,Task,To Do,GBM,Guild BA MetaModel,business,jeffw5,"<h3>Welcome to the administration of your demonstration project!</h3>
 <p>This is where you can view and change how the project is configured. Use the tabs on the left to navigate to different project settings.</p>",,Medium,,,jeffw5,jeffw5,05/12/17 9:28 AM,05/12/17 11:42 AM,01/20/18 6:28 AM,,,,07/30/17 12:00 AM,0,,,,,jeffw5,,,576000,576000,,0%,576000,576000,,,,,,,,,,{},,,,,,0|i00033:,,,,,,,
BA MM (Penumbra) - Case Management,GBM-14,10106,,Task,To Do,GBM,Guild BA MetaModel,business,jeffw5,"<h3>Welcome to the administration of your demonstration project!</h3>
 <p>This is where you can view and change how the project is configured. Use the tabs on the left to navigate to different project settings.</p>",,Medium,,,jeffw5,jeffw5,05/12/17 9:28 AM,05/12/17 11:43 AM,01/20/18 6:28 AM,,,,07/30/17 12:00 AM,0,,,,,jeffw5,,,576000,576000,,0%,576000,576000,,,,,,,,,,{},,,,,,0|i0002v:,,,,,,,
BA MM (Penumbra) - BPM & Management,GBM-13,10105,,Task,To Do,GBM,Guild BA MetaModel,business,jeffw5,"<h3>Welcome to the administration of your demonstration project!</h3>
 <p>This is where you can view and change how the project is configured. Use the tabs on the left to navigate to different project settings.</p>",,Medium,,,jeffw5,jeffw5,05/12/17 9:28 AM,05/12/17 11:43 AM,01/20/18 6:28 AM,,,,07/30/17 12:00 AM,0,,,,,jeffw5,,,576000,576000,,0%,576000,576000,,,,,,,,,,{},,,,,,0|i0002n:,,,,,,,
BA MM (Penumbra) - Policy Mapping,GBM-12,10104,,Task,To Do,GBM,Guild BA MetaModel,business,jeffw5,"<h3>Welcome to the administration of your demonstration project!</h3>
 <p>This is where you can view and change how the project is configured. Use the tabs on the left to navigate to different project settings.</p>",,Medium,,,jeffw5,jeffw5,05/12/17 9:27 AM,05/12/17 11:43 AM,01/20/18 6:28 AM,,,,06/30/17 12:00 AM,0,,,,,jeffw5,,,576000,576000,,0%,576000,576000,,,,,,,,,,{},,,,,,0|i0002f:,,,,,,,
BA MM (Penumbra) - Stakeholder Mapping,GBM-11,10103,,Task,To Do,GBM,Guild BA MetaModel,business,jeffw5,"<h3>Welcome to the administration of your demonstration project!</h3>
 <p>This is where you can view and change how the project is configured. Use the tabs on the left to navigate to different project settings.</p>",,Medium,,,jeffw5,jeffw5,05/12/17 9:27 AM,05/12/17 11:43 AM,01/20/18 6:28 AM,,,,06/30/17 12:00 AM,0,,,,,jeffw5,,,576000,576000,,0%,576000,576000,,,,,,,,,,{},,,,,,0|i00027:,,,,,,,
BA MM (Penumbra) - Product Mapping,GBM-10,10102,,Task,To Do,GBM,Guild BA MetaModel,business,jeffw5,"<h3>Welcome to the administration of your demonstration project!</h3>
 <p>This is where you can view and change how the project is configured. Use the tabs on the left to navigate to different project settings.</p>",,Medium,,,jeffw5,jeffw5,05/12/17 9:27 AM,05/12/17 11:43 AM,01/20/18 6:28 AM,,,,06/30/17 12:00 AM,0,,,,,jeffw5,,,576000,576000,,0%,576000,576000,,,,,,,,,,{},,,,,,0|i0001z:,,,,,,,
BA MM (Penumbra) - Initiative Mapping,GBM-9,10101,,Task,To Do,GBM,Guild BA MetaModel,business,jeffw5,"<h3>Welcome to the administration of your demonstration project!</h3>
 <p>This is where you can view and change how the project is configured. Use the tabs on the left to navigate to different project settings.</p>",,Medium,,,jeffw5,jeffw5,05/12/17 9:27 AM,05/12/17 11:44 AM,01/20/18 6:28 AM,,,,06/30/17 12:00 AM,0,,,,,jeffw5,,,576000,576000,,0%,576000,576000,,,,,,,,,,{},,,,,,0|i0001r:,,,,,,,
BA MM (Core) - Information Mapping,GBM-8,10100,,Task,To Do,GBM,Guild BA MetaModel,business,jeffw5,"<h3>Welcome to the administration of your demonstration project!</h3>
 <p>This is where you can view and change how the project is configured. Use the tabs on the left to navigate to different project settings.</p>",,Medium,,,jeffw5,jeffw5,05/12/17 9:26 AM,05/12/17 11:44 AM,01/20/18 6:28 AM,,,,05/26/17 12:00 AM,0,,,,,jeffw5,,,288000,288000,,0%,288000,288000,,,,,,,,,,{},,,,,,0|i0001j:,,,,,,,
BA MM (Core) - Value Mapping,GBM-6,10005,,Task,To Do,GBM,Guild BA MetaModel,business,jeffw5,"<h3>Welcome to the administration of your demonstration project!</h3>
 <p>This is where you can view and change how the project is configured. Use the tabs on the left to navigate to different project settings.</p>",,Medium,,jeffw5,jeffw5,jeffw5,05/07/17 5:52 PM,07/28/17 5:03 AM,01/20/18 6:21 AM,,,,05/26/17 12:00 AM,0,,,"h4. Now it's your turn!
{color:#707070}Now, it is your turn to create your first task. Click the 'Create' button and get your project started. {color}
h4. If you are a JIRA Core administrator, you can create and customize projects for your organization. 
* {color:#707070} Click on 'Create Project' under the Project menu above and select one of the business projects to get started. {color}
* {color:#707070}Invite team members to JIRA Core - keyboard shortcut: !dot.png!, then type 'users' {color}
* {color:#707070}Delete this Demo Project - keyboard shortcut: !dot.png!, then type 'projects' {color}
{color:#707070}Previous:{color} [Keyboard shortcuts|GBM-5]

----
(i) [Visit the JIRA Core documentation|https://confluence.atlassian.com/display/JIRACORECLOUD/JIRA+Core+documentation]",,jeffw5,,,288000,288000,,0%,288000,288000,,,,,05/07/17 5:52 PM;jeffw5;c.png;https://baguildmmteam.atlassian.net/secure/attachment/10011/c.png,05/07/17 5:52 PM;jeffw5;dot.png;https://baguildmmteam.atlassian.net/secure/attachment/10012/dot.png,05/07/17 5:52 PM;jeffw5;g.png;https://baguildmmteam.atlassian.net/secure/attachment/10013/g.png,05/07/17 5:52 PM;jeffw5;i.png;https://baguildmmteam.atlassian.net/secure/attachment/10014/i.png,,{},,,,,,0|i00013:,,,,,,"07/28/17 5:03 AM;jeffw5;Lloyd, do we have the most current Value Map loaded into the EA cloud ?",
BA MM (Core) - Organization Mapping,GBM-5,10004,10000,Sub-task,To Do,GBM,Guild BA MetaModel,business,jeffw5,"<h3>Welcome to the administration of your demonstration project!</h3>
 <p>This is where you can view and change how the project is configured. Use the tabs on the left to navigate to different project settings.</p>",,Medium,,jeffw5,jeffw5,jeffw5,05/07/17 5:52 PM,05/12/17 11:45 AM,01/20/18 6:28 AM,,,,05/26/17 12:00 AM,0,demo,keyboard-shortcuts,"h4. Working faster
{color:#707070}!Keyboard.png! Are you a fan of keyboard shortcuts? We are too! Press !questionmark.png! to see the list.
Here are three of our favourites that you might like to try:{color}
* {color:#707070}!dot.png! Operations Dialog{color}
* {color:#707070}!i.png! Assign to me{color}
* {color:#707070}!l.png! Label Issue{color}
Next: [Searching for Information|GBM-6]
{color:#707070}Previous:{color} [What's next|GBM-4]

----
[Learn more about keyboard shortcuts|https://confluence.atlassian.com/display/JIRA/Using+Keyboard+Shortcuts]",,,,,288000,288000,,0%,288000,288000,,,,,05/07/17 5:52 PM;jeffw5;Keyboard.png;https://baguildmmteam.atlassian.net/secure/attachment/10006/Keyboard.png,05/07/17 5:52 PM;jeffw5;dot.png;https://baguildmmteam.atlassian.net/secure/attachment/10007/dot.png,05/07/17 5:52 PM;jeffw5;i.png;https://baguildmmteam.atlassian.net/secure/attachment/10008/i.png,05/07/17 5:52 PM;jeffw5;l.png;https://baguildmmteam.atlassian.net/secure/attachment/10009/l.png,05/07/17 5:52 PM;jeffw5;questionmark.png;https://baguildmmteam.atlassian.net/secure/attachment/10010/questionmark.png,{},,,,,,0|i00003:,,,,,,,
OMG Submission Packaging - ARCHIMATE Meta Model (AMM),GBM-4,10003,,Task,To Do,GBM,Guild BA MetaModel,business,jeffw5,"<h3>Welcome to the administration of your demonstration project!</h3>
 <p>This is where you can view and change how the project is configured. Use the tabs on the left to navigate to different project settings.</p>",,Medium,,jeffw5,jeffw5,jeffw5,05/07/17 5:52 PM,05/12/17 11:42 AM,01/20/18 6:28 AM,,,,11/15/17 12:00 AM,0,,,"h4.Searching for Information
{color:#707070}Use the Search bar in the top right to quickly find a particular task. 
For more advanced searches, click 'Search for issues' under the Issues menu. 
{color}
Next: [Keyboard shortcuts|GBM-5]
{color:#707070}Previous:{color} [Editing tasks|GBM-3]

----
[Learn more about searching|https://confluence.atlassian.com/display/JIRACORECLOUD/Searching+for+issues]",,,,,576000,576000,,0%,576000,576000,,,,,,,,,,{},,,,,,0|i0000n:,,,,,,,
BA MM (Penumbra) - Business Strategy Mapping,GBM-2,10001,,Task,To Do,GBM,Guild BA MetaModel,business,jeffw5,"<h3>Welcome to the administration of your demonstration project!</h3>
 <p>This is where you can view and change how the project is configured. Use the tabs on the left to navigate to different project settings.</p>",,Medium,,jeffw5,jeffw5,jeffw5,05/07/17 5:52 PM,07/28/17 5:01 AM,01/20/18 6:28 AM,,,,06/30/17 12:00 AM,0,,,"!Workflow.png|align=left!
h4. Workflows - What you need to know
{color:#707070}Workflows define steps to get a task to done. To see the workflow this tasks goes through, click on 'View Workflow' above. {color}
h4. Status
{color:#707070} A status represents the “state” of a task at a specific point in your workflow. The current status of your task can be viewed in the 'Details' section above. Once you're ready to move to the next step, click on the appropriate transition button. {color}

Next: [Editing tasks|GBM-3]
{color:#707070}Previous:{color} [This is your first task.|GBM-1]

----
[Learn more about workflows|http://blogs.atlassian.com/2015/11/how-to-set-up-business-workflows-in-jira-core/]",,jeffw5,,,576000,576000,,0%,576000,576000,,,,,05/07/17 5:52 PM;jeffw5;Workflow.png;https://baguildmmteam.atlassian.net/secure/attachment/10001/Workflow.png,,,,,{},,,,,,0|i00007:,,,,,,07/28/17 5:01 AM;jeffw5;Can Terry take this one on ?,
BA MM (Core) - Capability Mapping,GBM-1,10000,,Task,To Do,GBM,Guild BA MetaModel,business,jeffw5,"<h3>Welcome to the administration of your demonstration project!</h3>
 <p>This is where you can view and change how the project is configured. Use the tabs on the left to navigate to different project settings.</p>",,Medium,,jeffw5,jeffw5,jeffw5,05/07/17 5:52 PM,07/28/17 4:58 AM,01/20/18 6:28 AM,,,,05/26/17 12:00 AM,0,,,"h2. This is your first task. 
{color:#707070} Issues are the things you do in a project. In business projects, issues are called tasks. {color}
h4. Types of tasks
{color:#707070}A task can represent a document, a creative asset, a purchase and even a person.{color}
!IssueTypes.png!
h4. Details
{color:#707070}The 'Details' section above, provides the information you need, such as priority and status, to help you track the progress of your tasks.{color}
Next: [Workflows and statuses|GBM-2]

----
[Learn more |http://blogs.atlassian.com/2015/11/make-jira-core-issues-work-for-your-business-team/]",,jeffw5,kutter,,288000,288000,,0%,576000,576000,,,,,05/07/17 5:52 PM;jeffw5;IssueTypes.png;https://baguildmmteam.atlassian.net/secure/attachment/10000/IssueTypes.png,,,,,{},,,,,,0|hzzzzz:,,,,,,07/28/17 2:58 AM;jeffw5;just added Jira to Slack channel for BA MM team,"07/28/17 4:58 AM;jeffw5;Has the Capability Map been voted on ?  If not, we need to get this done today"
